STATE,schools,matched,pct_matched,leas,leas_with_valid_id,pct_id,vent_answered,vent_funded,lea_funded_pct
AK,501,501,100.0,54.0,54.0,100.0,54.0,13.0,24.1
AL,1541,1516,98.4,146.0,146.0,100.0,146.0,88.0,60.3
AR,1117,1071,95.9,260.0,260.0,100.0,260.0,107.0,41.2
AZ,2633,2,0.1,601.0,0.0,0.0,601.0,249.0,41.4
CA,10407,9259,89.0,1817.0,962.0,52.9,1817.0,870.0,47.9
CO,1917,1896,98.9,180.0,180.0,100.0,180.0,35.0,19.4
CT,1021,0,0.0,200.0,0.0,0.0,200.0,82.0,41.0
DC,246,230,93.5,57.0,56.0,98.2,57.0,17.0,29.8
DE,238,237,99.6,42.0,42.0,100.0,42.0,26.0,61.9
FL,4312,4301,99.7,80.0,78.0,97.5,80.0,51.0,63.7
GA,2349,2334,99.4,224.0,224.0,100.0,224.0,76.0,33.9
HI,298,298,100.0,1.0,1.0,100.0,1.0,1.0,100.0
IA,1339,1331,99.4,327.0,327.0,100.0,327.0,118.0,36.1
ID,819,797,97.3,178.0,178.0,100.0,178.0,91.0,51.1
IL,4439,3988,89.8,861.0,861.0,100.0,861.0,465.0,54.0
IN,1928,1585,82.2,376.0,320.0,85.1,376.0,161.0,42.8
KS,1356,1349,99.5,291.0,291.0,100.0,291.0,114.0,39.2
KY,1559,1499,96.2,171.0,171.0,100.0,171.0,114.0,66.7
LA,1330,1305,98.1,184.0,183.0,99.5,184.0,89.0,48.4
MA,1844,1812,98.3,383.0,383.0,100.0,383.0,111.0,29.0
MD,1415,1414,99.9,25.0,25.0,100.0,25.0,25.0,100.0
ME,598,565,94.5,186.0,186.0,100.0,186.0,100.0,53.8
MI,3508,3286,93.7,826.0,826.0,100.0,826.0,366.0,44.3
MN,2860,2781,97.2,539.0,536.0,99.4,539.0,94.0,17.4
MO,2488,2377,95.5,555.0,555.0,100.0,555.0,174.0,31.4
MS,1050,1000,95.2,140.0,140.0,100.0,140.0,93.0,66.4
MT,857,853,99.5,402.0,402.0,100.0,402.0,170.0,42.3
NC,2766,2708,97.9,328.0,322.0,98.2,328.0,130.0,39.6
ND,540,516,95.6,165.0,164.0,99.4,165.0,75.0,45.5
NE,1116,1056,94.6,244.0,244.0,100.0,244.0,85.0,34.8
NH,519,461,88.8,191.0,186.0,97.4,191.0,21.0,11.0
NJ,2575,2520,97.9,674.0,674.0,100.0,674.0,413.0,61.3
NM,927,807,87.1,142.0,109.0,76.8,142.0,48.0,33.8
NV,746,742,99.5,18.0,18.0,100.0,18.0,5.0,27.8
NY,4865,3069,63.1,911.0,911.0,100.0,911.0,339.0,37.2
OH,3611,3493,96.7,933.0,933.0,100.0,933.0,471.0,50.5
OK,1791,1770,98.8,540.0,540.0,100.0,540.0,0.0,0.0
OR,1301,1247,95.8,195.0,195.0,100.0,195.0,110.0,56.4
PA,2949,2915,98.8,756.0,756.0,100.0,756.0,280.0,37.0
PR,865,865,100.0,1.0,1.0,100.0,1.0,1.0,100.0
RI,316,314,99.4,62.0,62.0,100.0,62.0,27.0,43.5
SC,1290,1260,97.7,85.0,85.0,100.0,85.0,57.0,67.1
SD,741,701,94.6,149.0,149.0,100.0,149.0,74.0,49.7
TN,1928,1887,97.9,141.0,140.0,99.3,141.0,92.0,65.2
TX,9774,0,0.0,1186.0,0.0,0.0,1186.0,277.0,23.4
UT,1120,1113,99.4,154.0,154.0,100.0,154.0,32.0,20.8
VA,2159,2056,95.2,133.0,133.0,100.0,133.0,109.0,82.0
VI,21,0,0.0,,,,,,
VT,305,10,3.3,52.0,52.0,100.0,52.0,24.0,46.2
WA,2574,0,0.0,310.0,0.0,0.0,310.0,162.0,52.3
WI,2232,2180,97.7,447.0,447.0,100.0,447.0,162.0,36.2
WV,701,693,98.9,55.0,55.0,100.0,55.0,30.0,54.5
WY,367,343,93.5,48.0,48.0,100.0,48.0,25.0,52.1
