state,n_hi,n_lo,funded_hi,funded_lo,gap_pts
NM,161,263,20.5,55.9,-35.4
SC,252,252,51.6,81.0,-29.4
AR,215,216,24.7,44.9,-20.3
WV,139,139,42.4,61.9,-19.4
AL,304,304,50.3,69.4,-19.1
WY,69,115,30.4,43.5,-13.0
MS,200,201,61.0,73.1,-12.1
VA,412,412,86.7,96.1,-9.5
ND,104,144,51.9,56.9,-5.0
MN,557,560,23.7,25.0,-1.3
OH,699,699,58.7,59.7,-1.0
PR,173,173,100.0,100.0,0.0
MD,283,284,100.0,100.0,0.0
HI,60,60,100.0,100.0,0.0
OK,354,355,0.0,0.0,0.0
IN,317,317,56.5,55.8,0.6
CO,380,381,12.9,12.1,0.8
KY,300,300,73.0,70.7,2.3
PA,583,583,52.0,48.0,3.9
FL,861,861,77.8,72.7,5.1
SD,141,206,59.6,53.9,5.7
MO,476,477,45.8,39.2,6.6
ME,113,114,66.4,59.6,6.7
WI,436,436,48.9,42.0,6.9
ID,160,160,74.4,65.0,9.4
NV,149,149,59.7,49.7,10.1
MI,658,658,55.6,43.6,12.0
LA,261,261,92.3,78.5,13.8
NY,614,614,52.4,37.0,15.5
KS,270,270,58.9,42.2,16.7
NJ,504,504,83.9,67.1,16.9
NC,542,542,82.7,64.8,17.9
TN,378,378,86.2,68.3,18.0
MT,172,426,64.5,44.8,19.7
OR,250,250,83.6,63.6,20.0
MA,363,363,57.0,36.6,20.4
CA,1852,1852,87.6,67.1,20.5
IA,267,267,59.2,37.5,21.7
UT,223,223,54.3,30.5,23.8
AK,101,252,46.5,20.2,26.3
RI,63,63,77.8,49.2,28.6
IL,798,799,89.8,58.6,31.3
NH,93,93,43.0,9.7,33.3
NE,212,213,67.0,33.3,33.6
GA,467,467,67.5,33.2,34.3
